"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 13:59:22 GMT 2023","Mon Feb 13 13:59:22 GMT 2023","74","","should test Pensions dropdown","","should test Pensions dropdown","should verify that user landed on the expected URL","should verify that user landed on the expected URL",""
"passed","Mon Feb 13 13:59:25 GMT 2023","Mon Feb 13 13:59:26 GMT 2023","568","","should test Services dropdown","","should test Services dropdown","should click on the “Services” dropdown in the top nav bar,","should click on the “Services” dropdown in the top nav bar,",""
"passed","Mon Feb 13 13:59:23 GMT 2023","Mon Feb 13 13:59:25 GMT 2023","1730","","should test Services dropdown","","should test Services dropdown","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:13 GMT 2023","Mon Feb 13 13:59:13 GMT 2023","556","","should test Investments dropdown","","should test Investments dropdown","should click on the Investments dropdown in the top nav bar,","should click on the Investments dropdown in the top nav bar,",""
"passed","Mon Feb 13 13:59:18 GMT 2023","Mon Feb 13 13:59:18 GMT 2023","649","","should test News Dropdown","","should test News Dropdown","should click on the News dropdown in the top nav bar,","should click on the News dropdown in the top nav bar,",""
"passed","Mon Feb 13 13:59:09 GMT 2023","Mon Feb 13 13:59:09 GMT 2023","90","","should test Help & Learning dropdown","","should test Help & Learning dropdown","should verify that user landed on the expected URL","should verify that user landed on the expected URL",""
"passed","Mon Feb 13 13:59:20 GMT 2023","Mon Feb 13 13:59:21 GMT 2023","1517","","should test Pensions dropdown","","should test Pensions dropdown","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:29 GMT 2023","Mon Feb 13 13:59:29 GMT 2023","16","","should test Interactive Investor application","","should test Interactive Investor application","should get the correct page title","should get the correct page title",""
"passed","Mon Feb 13 13:59:28 GMT 2023","Mon Feb 13 13:59:29 GMT 2023","1317","","should test Interactive Investor application","","should test Interactive Investor application","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:08 GMT 2023","Mon Feb 13 13:59:09 GMT 2023","577","","should test Help & Learning dropdown","","should test Help & Learning dropdown","should click on the “Help & Learning” dropdown in the top nav bar,","should click on the “Help & Learning” dropdown in the top nav bar,",""
"passed","Mon Feb 13 13:59:15 GMT 2023","Mon Feb 13 13:59:18 GMT 2023","2685","","should test News Dropdown","","should test News Dropdown","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:21 GMT 2023","Mon Feb 13 13:59:22 GMT 2023","567","","should test Pensions dropdown","","should test Pensions dropdown","should click on the Pensions dropdown in the top nav bar,","should click on the Pensions dropdown in the top nav bar,",""
"passed","Mon Feb 13 13:59:26 GMT 2023","Mon Feb 13 13:59:26 GMT 2023","544","","should test Services dropdown","","should test Services dropdown","should verify all the links under Services dropdown","should verify all the links under Services dropdown",""
"passed","Mon Feb 13 13:59:07 GMT 2023","Mon Feb 13 13:59:08 GMT 2023","1702","","should test Help & Learning dropdown","","should test Help & Learning dropdown","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:13 GMT 2023","Mon Feb 13 13:59:14 GMT 2023","429","","should test Investments dropdown","","should test Investments dropdown","should verify the all links under Investments dropdown","should verify the all links under Investments dropdown",""
"passed","Mon Feb 13 13:59:22 GMT 2023","Mon Feb 13 13:59:22 GMT 2023","244","","should test Pensions dropdown","","should test Pensions dropdown","should verify all the links under Pensions dropdown","should verify all the links under Pensions dropdown",""
"passed","Mon Feb 13 13:59:11 GMT 2023","Mon Feb 13 13:59:13 GMT 2023","1761","","should test Investments dropdown","","should test Investments dropdown","should handle the alert","should handle the alert",""
"passed","Mon Feb 13 13:59:14 GMT 2023","Mon Feb 13 13:59:14 GMT 2023","28","","should test Investments dropdown","","should test Investments dropdown","should verify that user landed on the expected URL","should verify that user landed on the expected URL",""
"passed","Mon Feb 13 13:59:26 GMT 2023","Mon Feb 13 13:59:26 GMT 2023","75","","should test Services dropdown","","should test Services dropdown","should verify that user landed on the expected URL","should verify that user landed on the expected URL",""
"passed","Mon Feb 13 13:59:09 GMT 2023","Mon Feb 13 13:59:09 GMT 2023","288","","should test Help & Learning dropdown","","should test Help & Learning dropdown","should verify all the links under Help & Learning dropdown","should verify all the links under Help & Learning dropdown",""
"passed","Mon Feb 13 13:59:29 GMT 2023","Mon Feb 13 13:59:29 GMT 2023","0","","should test Interactive Investor application","","should test Interactive Investor application","should verify the current url and page","should verify the current url and page",""
